Annotation Id, Left Context, Derge, Chone, Narthang, Peking, Right Context, Decision, Method
12c95dfb89454465aa609a92c0022230,ར་ཇི་ལྟར་འགྱུར། །གཞན,མྱོང་བ་,མྱོང་བ་,མྱོང་བ་,མྱོས་བ་,ན་འབྲེལ་པ་ལས། །དྲན་འ,མྱོང་བ་,OUTLIER/
e4b155fd3f324a9e8f0f28a9a1d8342d,། །དངོས་ན་ཇི་ལྟར་དེ་,གཞན་,གཞན་,བཞན་,གཞན་,མིན། །གཞན་མིན་ཞེ་ན་,གཞན་,OUTLIER/
2a60b276a22d408b838a85f16d3af2df,་ཞེ་ན་དངོས་པོར་མེད། ,ཇི་ལྟར་,ཇི་ལྟར་,ཇི་ལྟ་,ཇི་ལྟ་,སྒྱུ་མ་བདེན་མིན་ཡང་།,ཇི་ལྟར་,SIMILAR/
ccfdb9ee63fe4625a955f7cbcb74f17c,ཡིན། །རེ་ཞིག་ཉེར་ལེན,སྲེད་པ་,སྲེད་པ་,སྲེད་པ་,སྲིད་པ་,ནི། །མེད་ཅེས་ངེས་པ་ཉ,སྲེད་པ་,OUTLIER/
f64111cb30d049cea73f1982edbc9f68,ད་ཀྱིས་མ་རྟོགས་པས། །,གཟུང་,གཟུང་,གཟུངས་,གཟུང་,བྱ་མིན་པར་སུ་ཞིག་བྱེ,གཟུང་,OUTLIER/
b84fe2417cb1417bb25ef827999975ee,ེ་བདག་ནི་ཡོད་མིན་ན། ,ལས་འབྲས་,ལས་འབྲས་བ་,ལས་འབྲས་,ལས་འབྲས་,འབྲེལ་པ་རིགས་མིན་ཏེ།,ལས་འབྲས་,OUTLIER/
9b1d989b7b674618b08248b3692fb93b,པེར་ན་ཆུ་ཤིང་སྡོང་པོ,དག ,དང་་ ,དག ,དག ,།ཆ་ཤས་ཕྱེ་ན་འགའ་མེད་,དག ,OUTLIER/
a7ef36eb15bd4aef849f432f2f1d061a,ོད་པའི་ཁྱད་པར་གྱིས། ,ཐོ་ཡོར་,ཐོ་ཡོར་,མཐོ་ཡོར་,མཐོ་ཡོར་,ལ་ནི་མི་བློ་བཞིན། །ཇ,ཐོ་ཡོར་,ALTERNATIVE/
0f18a12992a7454e88e43c2e531f0770,མྱ་ངན་གདུང་སོགས་ལ། །,ཞིམ་,ཞིམ་,ཞེས་,ཞིམ་,སོགས་ཅི་སྟེ་དགའ་མི་བ,ཞིམ་,OUTLIER/
bdd54b86e949486293cf0098a7418ce7,ང་སོགས་ལ། །ཞིམ་སོགས་,ཅི་,ཅི་,ཅི་,ཞི་,སྟེ་དགའ་མི་བྱེད། །སྟ,ཅི་,OUTLIER/
9d94812244524b659af2f79f44040c74,ཕན་ཚུན་དབང་གིས་ཡོད། ,གཉི་ག་,གཉི་ག་,གཉིས་ཀ་,གཉིས་ཀ་,ཡང་ནི་མེད་པར་འགྱུར། ,གཉི་ག་,SIMILAR/
641941bfc93d49d6bd7d90d54f1c242d,ན་ཏེ། །དེ་ཡང་སོ་སོར་,རྣམ་,རྣམས་,རྣམ་,རྣམ་,གསུམ་ཕྱིར། །ཡོན་ཏན་མ,རྣམ་,OUTLIER/
9a17d8584118447eb7b3563d49c4e306,།མྱ་ངན་འདས་དང་མ་འདས་,པའང་,པའང་,པ་ལའང་,པའང་,། །དེ་ཉིད་དུ་ན་ཁྱད་པ,པའང་,OUTLIER/
9b7477e6ffed47d5b6ece02877edb5be,་བསྔལ་ཆུ་བོར་གནས་འདི,དག ,དང་་ ,དག ,དག ,།ཀྱི་ཧུད་མྱ་ངན་བྱ་བར,དག ,OUTLIER/
b90d3d24cd2a410f81a77912023d3a09,འི་ནགས་ཚལ་ཡང་། །དེ་ལ,ཙནྡན་ནགས་སྟུག་,ཙནྡན་ནགས་སྟུག་,དགའ་ཚལ་སྡུ་གུར་,དགའ་ཚལ་སྡུ་གུར་,ཤོག །ཤལ་མ་རི་ཡི་སྡོང,ཙནྡན་ནགས་སྟུག་,SANSKRIT/
90871f3de20341988f01165b967d7291,ོད་པར་མཐོང་གྱུར་ནས། ,གློ་བུར་,གློ་བུར་,བློ་བུར་,བློ་བུར་,བདེ་བས་ཚིམ་པ་འདི་ཅི,གློ་བུར་,ALTERNATIVE/
408c54baf32c45428724c6817fd13fce,ད་པན་དག་གིས་ཞབས་ཀྱི་,པདྨ་,པདྨ་,པདྨོ་,པདྨོ་,ལ་མཆོད་ཅིང་། །ཐུགས་ར,པདྨ་,SANSKRIT/
c153d98509ca40de8013da4ee0486e27,ོང་ནས་ད་ནི་སེམས་དམྱལ,ཅ་ཅོ་,ཅ་ཅོ་,ཀུ་ཅོ་,ཀུ་ཅོ་,འདོན་པར་ཤོག །དེ་ལྟར་,ཅ་ཅོ་,SIMILAR/
d1e68e1527764bd6bd34b181a78edb03,ར་ཐོབ་ཤོག །མྱ་ངན་ཉམ་,ཐག་,ཐག་,ཐག་,ཐགས་,དགའ་ཐོབ་ཤོག །ཡི་ཆད་ར,ཐག་,OUTLIER/
f84fc31bbf574421b6d83dd21dcd5b4b,ན་ཚུན་མཉེན་གྱུར་ཅིག ,འདྲོན་པ་,འདྲོན་པ་,འགྲོན་པ་,འགྲོན་པ་,དག་ནི་ཐམས་ཅད་ལ། །ཕྱོ,འདྲོན་པ་,SIMILAR/
681256756aef4820be6c73f250fe348c,་མེད་པར། །མི་ངལ་བདེ་,བླག་,བླག་,བླགས་,བླག་,འདོང་བར་ཤོག །དགོན་སོ,བླག་,OUTLIER/
57a1d3dac7fb47708df6fde731592cb9,་མ་མྱོང་ཞིང་། །དཀའ་བ,སྤྱད་པ་,སྤྱོད་པ་,སྤྱད་པ་,སྤྱད་པ་,མེད་པར་ཡང་། །ལྷ་བས་ལ,སྤྱད་པ་,OUTLIER/
f18cae0e0acd4ed38b67ae419a3c4a2d,ས་རྒྱ་གར་གྱི་མཁན་པོ་,དྷརྨ་,དྷརྨ་,དྷརྨྨ་,དྷརྨྨ་,ཤྲཱི་བྷ་དྲ་དང་། ཞུ་ཆ,དྷརྨ་,SANSKRIT/
1a36d7ed98ef432eaa34155ba3c3157c,ྷ་དྲ་དང་། ཞུ་ཆེན་གྱི,ལོ་ཙཱ་བ་བནྡེ་,ལོ་ཙཱ་བ་བནྡེ་,ལོཙྪ་བ་,ལོཙྪ་བ་,རིན་ཆེན་བཟང་པོ་དང་། ,ལོ་ཙཱ་བ་བནྡེ་,SANSKRIT/
bde685d092ad45ebba562816a29ee656,ཏེ་གཏན་ལ་ཕབ་པའོ། །ཡང,དུས་ཕྱིས་རྒྱ་གར་གྱི་མཁན་པོ་,དུས་ཕྱིས་རྒྱ་གར་གྱི་མཁན་པོ་,སླད་ཀྱི་བལ་པོའི་པཎྜི་ཏ་,སླད་ཀྱི་བལ་པོའི་པཎྜི་ཏ་,སུ་མ་ཏི་ཀཱིརྟི་དང་། ,དུས་ཕྱིས་རྒྱ་གར་གྱི་མཁན་པོ་,SANSKRIT/
09ed7c847e12474ca93512dc655a6a91,ིརྟི་དང་། ཞུ་ཆེན་གྱི,ལོ་ཙཱ་,ལོ་ཙཱ་,ལོ་ཙཱ་,ལོཙྪ་,བ་དགེ་སློང་བློ་ལྡན་ཤ,ལོ་ཙཱ་,OUTLIER/SANSKRIT/
