Annotation Id, Left Context, Derge, Chone, Narthang, Peking, Right Context, Decision, Method
1bad5c8220dc4efcb875d34c9125cd04,ཚར་ཆེ། །གསུང་ངོ་།། །,ཏོག་ཙེ་,ཏོག་ཙེ་,ཏོག་རྩེ་,ཏོག་རྩེ་,པས་གསུངས་པ། ལྟོས་ཤིག,ཏོག་ཙེ་,ALTERNATIVE/
0db7c77a8baa484b9983a67b9d0b05a4,མི་ཟ། །ལས་ཀྱི་འཕེན་པ,ནམ་མཁས་,ནམ་མཁས་,ནམ་མཁའ་,ནམ་མཁས་,ཁྱེར། །དུས་དེར་ཆོས་ཉ,ནམ་མཁས་,OUTLIER/
277d074ffa7049b1aeb71594c16fdec9,ཕྲོགས་ཏེ། །གཉུག་མའི་,རྫོང་,རྫོང་,རྫོང་,རྫོངས་,ལ་ངེས་པར་གནས། །གསུང་,རྫོང་,OUTLIER/
c1ddc4bb45c44c7e9df44bc574a6ad0b,ྡོ་རྗེས་སྨྲས་པ། ཀུན་,གཞི་,གཞི་,བཞི་,གཞི་,དག་པའི་དབྱིངས་ནས་རིག,གཞི་,OUTLIER/
