Annotation Id, Left Context, Derge, Chone, Narthang, Peking, Right Context, Decision, Method
b003355d83ff41fd9a0b7f6040ba0ec0,་ནས་བརྟུན་པས་སྐྱེད། ,མཉམ་གཞག་,མཉམ་བཞག་,མཉམ་གཞག་,མཉམ་གཞག་,ཡང་དག་ཇི་བཞིན་དུ། །ཤ,མཉམ་གཞག་,OUTLIER/
32f5b3fe389f498f9fce538ad88fa5c6,ི་རོལ་གཡོ་བ་བཟློག་པ་,ཡིས,ཡི,ཡིས,ཡིས,། །སེམས་ནི་ཞི་ལས་མི་,ཡིས,OUTLIER/
14198149dea3437e8779afbbc80a4fb5,ལེགས་པར་ཚོས་པ་དང་། །,གཟེགས་,གཟེགས་,གཟེགས་,གཟུགས་,མེད་ལུས་ཅན་ཕན་པ་འདྲ།,གཟེགས་,OUTLIER/
4c79c8efe5994fb3a46bcf9811ba6e74,ྱུར། །བརྩོན་དང་བསམ་པ,བརྟན་པར་,བརྟན་པར་,བརྟན་པར་,བསྟན་པར་,ཡང་། །དང་པོ་ནན་ཏན་བྱ,བརྟན་པར་,OUTLIER/
