Annotation Id, Left Context, Derge, Chone, Narthang, Peking, Right Context, Decision, Method
77aa44dd06544ecf893cc18cd4439ecf,་།། །།སློབ་དཔོན་ལཱུ་,ཡི་,ཡི་,ཡཱི་,ཡཱི་,པའི་ཞལ་ནས། ཁྱི་རྒོད་,ཡི་,SANSKRIT/
99df0205742e48269d9bc0e8e0ebaeec,་བར་འདོད་ན་ཚོགས་གཉིས,བསག་པར་,བསག་པར་,བསག་པར་,བསགས་པར་,བྱ། །ཚོགས་གཉིས་མ་བསག,བསག་པར་,OUTLIER/
e9a971446b984460b3ce0a929a16b5ae,ུང་ངོ་།། །།སློབ་དཔོན,རཱ་མ་,རཱ་མ་,ར་མ་,ར་མ་,ཕ་ལའི་ཞལ་ནས། སངས་རྒྱ,རཱ་མ་,SANSKRIT/
71f2c1eff05a426382598213876bc41a,ས་ཡིན། །འབད་དང་བྲལ་ན,བསྒོམ་པའི་,བསྒོམ་པའི་,བསྒོམ་པའི་,བསྒོམས་པའི་,མཆོག །གཉིས་སྣང་བྲལ་ན,བསྒོམ་པའི་,OUTLIER/
662c84503e984c6a9a1a36350d5abcfd,ཀྱི་སྣ་རྩེ་བདག་བྱིན་,བརླབ་,བརླབ་,བརླབས་,བརླབས་,དང་མ་ལྡན་ན། །ཕྱི་དང་,བརླབ་,SIMILAR/
652a898252d841cf9289e3ab6135560f,གསུང་ངོ་།།ལྷ་ལྕམ་ལ་,ཀྵྨཱི་,ཀྵྨཱི་,ལཀྵྨི་,ལཀྵྨི་,ཀ་རའི་ཞལ་ནས། དང་པོ་བ,ཀྵྨཱི་,SANSKRIT/
da60ae86bfdd42799419a266bce0339b,ཏཱི་གསུམ། །བདག་བྱིན་,བརླབ་,བརླབ་,བརླབས་,བརླབས་,ཕྱིར་བཅིང་བར་བྱ། །བླ,བརླབ་,SIMILAR/
a720f561fac94de49f136cf66e9091a0, །ཞེས་གསུང་ངོ་། །དཔལ,ཨུ་རྒྱན་དུ་,ཨུ་རྒྱན་དུ་,ཨྃ་ཌི་ཡ་ནར་,ཨྃ་ཌི་ཡ་ནར་,ཚོགས་འཁོར་བྱས་པའི་དུ,ཨུ་རྒྱན་དུ་,SANSKRIT/
