Annotation Id, Left Context, Derge, Chone, Narthang, Peking, Right Context, Decision, Method
64f9db66d56a418598e2fd830869c139,ར་གྱིས་ཀྱང་སྲེག་ཅིང་,འཚིག་,འཚིག་,འཚིག་,ཚིག་,གོ་ཞེས་བྱ་བ་ལ་སོགས་པ,འཚིག་,OUTLIER/
9281bdc7ebec41feaeeff75794c6bd47,་བུ་མོ་འདོད་པའི་ཕྱིར,ཚངས་པར་,ཚངས་པར་,ཚངས་པ་,ཚངས་པར་,སྤྱོད་པ་ཡོངས་སུ་བསྔོ,ཚངས་པར་,OUTLIER/
b82db36d4ec140d4aedd27c23266368a,། །བླ་མ་རྣམས་ཀྱི་ཆུང,མ་ལ་,མ་ལ་,ལཾ་,མ་ལ་,བྱས་པ་ཡང་དེ་བཞིན་ནོ།,མ་ལ་,SANSKRIT/OUTLIER/
1b843ed897dc425fbdb4fb82aa52ea06,ས་ནི་རོ་མྱང་བ་ཆུང་བ་,སྟེ,སྟེ,ནི,སྟེ,། བཅོམ་ལྡན་འདས་ཀྱིས་,སྟེ,OUTLIER/
89c389890b1f41feab7b3844050fa2d3,ྲིན་བུའི་ཚོགས་གནས་པ།,སེམས་ཅན་རྣམས་,སེམས་ཅན་རྣམས་,སེམས་ཅན་,སེམས་ཅན་རྣམས་,ལ་གནོད་པ། ཉོན་མོངས་པ,སེམས་ཅན་རྣམས་,OUTLIER/
1b530f1f7e1b4025965fb35d9f8fc780,གཡེམ་པ་སྤང་བར་བྱ་སྟེ, བདག་གི་, བདག་གི་, བདག་གིས་, བདག་གི་,ཆུང་མས་ཆོག་པར་འཛིན་པ, བདག་གི་,OUTLIER/
65338776c62a40cca4573c5abef88c58,་ཡང་ཉོན་མོངས་པའི་དབང,དུ་གྱུར་པས་,དུ་གྱུར་པས་,འགྱུར་བས་,དུ་གྱུར་པས་,ན། དེས་རང་གི་ཆུང་མ་ལ,དུ་གྱུར་པས་,OUTLIER/
f5300c21f3ed4a81a653b9389fe0c0c3,གིས་སྐྱེ་བོ་ཕལ་པོ་ཆེ,བརྒྱུག་པ་,བརྒྱུག་པ་,རྒྱུག་པ་,བརྒྱུག་པ་,དེ་མཐོང་མ་ཐག་ཏུ། དེའ,བརྒྱུག་པ་,OUTLIER/
0b7860e570a8436c9aab1f049477cbf4,ཆགས་སེམས་ཀྱིས་དེ་མ་,བསྒྲུབས,བསྒྲུབས,བསྒྲུབས,སྒྲུབས,། །འདི་ནི་སྦྱིན་དང་ད,བསྒྲུབས,OUTLIER/
0bf67aa597e44af5939451ff10c03528,ྕེ་མེད་པ་དང་གྱོལ་དང་,ཞར་,ཞར་,ཞིར་,ཞར་,བར་འགྱུར། །གང་དག་སྨད,ཞར་,OUTLIER/
9b48337fa08940fd936e83280d105b40,ུབ། །དུ་བས་བདུག་ཅིང་,བཅིང་,བཅིང་,གཅིང་,བཅིང་,དང་བརྡེག་པ་དང་། །བསྡ,བཅིང་,OUTLIER/
