Annotation Id, Left Context, Derge, Chone, Narthang, Peking, Right Context, Decision, Method
328fa0c62918472c89f91bee1079112d, ཏ་ཐཱ་ག་ཏཱ་ནཱཾ། སརྦྦ,ཏྲ་ཡ་,ཏྲ་ཡ་,ཏྲཱ་ཨ་,ཏྲཱ་ཨ་,པྲ་ཏི་ཧ་ཏཱ་བཱཔྟི། དྷ,ཏྲ་ཡ་,SANSKRIT/
e51faaf447a2421db49f3d4c76afeabb,རྦྦ་ཏྲ་ཡ་པྲ་ཏི་ཧ་ཏཱ་,བཱཔྟི,བཱཔྟི,བཱཔྟི,བཱཔྟཱི་,། དྷརྨྨ་ཏ་བ་ལི་ནཱན། ,བཱཔྟི,OUTLIER/SANSKRIT/
d46e4ab223c847128f328ec8d66c76c9,ཏི་ཧ་ཏཱ་བཱཔྟི། དྷརྨྨ,ཏ་བ་ལི་ནཱན། ཨོཾ་,ཏ་བ་ལི་ནཱན། ཨོཾ་,ཏཱ་བ་ལེ་ནཱཾ་,ཏཱ་བ་ལེ་ནཱཾ་,ཨ་ས་མ་ས་མ། ས་མནྟ་ཏོ྅,ཏ་བ་ལི་ནཱན། ཨོཾ་,SANSKRIT/
392e104f6313405f928fdadec4f4814b,ཨོཾ་ཨ་ས་མ་ས་མ། ས་མནྟ,ཏོ྅་ནནྟ་ཏཱ་,ཏོ྅་ནནྟ་ཏཱ་,ཏོ་ནེནྟཱ་,ཏོ། ནནྟཱ། ་,བཱཔྟི་ཤཱ་ས་ནི། ཧ་ར་ཧ,ཏོ྅་ནནྟ་ཏཱ་,OUTLIER/SANSKRIT/
10aa0a159d354d52b87d5115f6432f5f,། ཧ་ར་ཧ་ར་སྨ་ར་སྨ་ར་,ཎེ,ཎེ,ཎ,ཎ,། བི་ག་ཏ་རཱ་ག་བུདྡྷ་,ཎེ,SANSKRIT/
4559770c884e4c13bea6f29703a32f86,་ཏེ། ས་ར་ས་ར། ས་མ་བ་,ལཱ,ལཱ,ལ,ལ,། ཧ་ས་ཧ་ས། ཏྲ་ཡ་ཏྲ་ཡ,ལཱ,SANSKRIT/
59fa713c5ae1426b8d07a687397c4620, ཧ་ས་ཧ་ས། ཏྲ་ཡ་ཏྲ་ཡ།,ག་ག་,ག་ག་,བྷ་ག་ཝ་,བྷ་ག་ཝ་,ན་མ་ཧཱ་བ་ར་ལཀྵ་ཎེ། ཛ,ག་ག་,SANSKRIT/
